,Unnamed: 0,location,tiplabel,Family,Subfamily,n,range,alt_max,alt_mid,alt_min,dry_weight,body_length,wing_length,CTmax,CTmin,CTrange,range_1,range(%),alt_max(%),alt_min(%),Tmax,Tmin,Tmean,DTR
44,10,MC,Cossidae_Zeuzerinae,Cossidae,Zeuzerinae,20,1190,1734,1110.0,544,0.213576471,25.53157895,25.88,47.1,0.0,47.1,1190.000001,0.4254558455488023,0.5522292993630573,0.1732484076433121,27.84213192,18.68830682,22.09044482,9.153825099
45,11,MC,Drepanidae_Drepaninae,Drepanidae,Drepaninae,12,2617,2960,1255.0,343,0.019483333,10.87416667,17.24666667,45.3,-4.2,49.5,2617.000001,0.9356453342867358,0.9426751592356688,0.1092356687898089,26.62962657,18.21923826,21.37127456,8.410388307
46,12,MC,Pyralidae_Phycitinae,Pyralidae,Phycitinae,58,2384,2727,1255.0,343,0.005254545,8.7675,9.753793103,47.5,-3.3,50.8,2384.000001,0.8523417947801215,0.8684713375796178,0.1092356687898089,26.62962657,18.21923826,21.37127456,8.410388307
47,13,MC,Erebidae_Arctiinae,Erebidae,Arctiinae,429,2797,3140,1511.0,343,0.033975118,12.9296,18.64978824,47.9,-5.2,53.1,2797.000001,1.0,1.0,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
48,14,MC,Noctuidae_Bagisarinae,Noctuidae,Bagisarinae,6,929,2039,1511.0,1110,0.100416667,14.47166667,16.71333333,48.3,-1.2,49.5,929.000001,0.3321415802645692,0.6493630573248408,0.3535031847133758,24.2957211,17.18614029,19.93321032,7.109580808
49,15,MC,Nolidae_Eligminae,Nolidae,Eligminae,8,1495,2039,1511.0,544,0.0938625,22.515,34.88375,47.5,-1.0,48.5,1495.000001,0.5345012513407222,0.6493630573248408,0.1732484076433121,24.2957211,17.18614029,19.93321032,7.109580808
50,16,MC,Geometridae_Geometrinae,Geometridae,Geometrinae,32,2078,2421,1511.0,343,0.029753333,14.6059375,20.2578125,46.9,-3.4,50.3,2078.000001,0.7429388630675724,0.7710191082802548,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
51,17,MC,Erebidae_Herminiinae,Erebidae,Herminiinae,5,2078,2421,1511.0,343,0.01722,13.322,16.292,39.5,-1.1,40.6,2078.000001,0.7429388630675724,0.7710191082802548,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
52,18,MC,Erebidae_Hypeninae,Erebidae,Hypeninae,22,2078,2421,1511.0,343,0.013054545,12.40136364,15.56318182,49.1,-0.6,49.7,2078.000001,0.7429388630675724,0.7710191082802548,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
53,19,MC,Erebidae_Lymantriinae,Erebidae,Lymantriinae,173,2384,2727,1511.0,343,0.035284884,12.54156977,17.5455814,48.4,-4.3,52.7,2384.000001,0.8523417947801215,0.8684713375796178,0.1092356687898089,24.2957211,17.18614029,19.93321032,7.109580808
